Album,Song Title,word_frequency,named_entities,dependency_parse,topic_modeling,non_real_words_freq,curse_words_freq,sentiment_analysis,predicted_curse_words,predicted_slang_words,predicted_names,found_albums_names_refs,found_songs_names_refs,total_curse_words,total_slangs,total_names,total_words,total_unique_words,num_verses,num_lines,num_characters,avg_verse_length,avg_line_length,avg_word_length
Relapse,3 a.m.,"{'oh': 14, 'yeah': 11, 'there': 11, 'is': 4, 'no': 5, 'escaping': 1, 'yo': 10, 'place': 1, 'to': 9, 'hide': 1, 'ayo': 6, 'you': 11, 'scream': 2, 'someone': 1, 'save': 1, 'me': 6, 'but': 8, 'they': 8, 'do': 10, 'pay': 1, 'mind': 1, 'goodnight': 1, 'goodbye': 1, 'walkin': 1, 'down': 1, 'a': 10, 'horror': 1, 'corridor': 1, 'it': 19, 'almost': 2, 'four': 1, 'in': 24, 'the': 50, 'mornin': 1, 'and': 26, 'nightmare': 1, 'horrible': 1, 'right': 1, 'coroner': 1, 'waiting': 1, 'for': 2, 'ya': 4, 'turn': 1, 'corner': 3, 'so': 3, 'he': 6, 'can': 3, 'goner': 1, 'onto': 2, 'out': 3, 'of': 8, 'his': 4, 'cornea': 1, 'just': 5, 'saw': 1, 'run': 3, 'all': 12, 'want': 1, 'rest': 1, 'ca': 2, 'anymore': 1, 'done': 1, 'wants': 2, 'kill': 1, 'front': 2, 'an': 2, 'audience': 1, 'while': 2, 'everybody': 1, 'watching': 1, 'party': 1, 'applauding': 1, 'here': 3, 'i': 48, 'sit': 1, 'caught': 1, 'up': 4, 'deep': 1, 'thought': 2, 'again': 8, 'contemplating': 1, 'my': 15, 'next': 1, 'plot': 1, 'swallowin': 1, 'klonopinwhile': 1, 'noddin': 1, 'on': 5, 'ottoman': 1, 'at': 2, 'ramada': 1, 'inn': 1, 'holding': 1, 'pill': 1, 'bottle': 1, 'then': 3, 'lick': 1, 'finger': 1, 'swirl': 1, 'bottom': 1, 'make': 1, 'sure': 1, 'got': 8, 'wake': 1, 'naked': 2, 'mcdonald': 1, 'with': 2, 'blood': 3, 'over': 8, 'dead': 1, 'bodies': 7, 'behind': 1, 'counter': 1, 'shit': 1, 'guess': 7, 'must': 7, 'blacked': 1, '3': 7, 'put': 6, 'key': 6, 'door': 6, 'layin': 6, 'floor': 6, 'remember': 8, 'how': 6, 'killed': 12, 'said': 3, 'sitting': 1, 'nude': 1, 'living': 1, 'room': 1, 'noon': 1, 'wonder': 1, 'what': 2, 'tube': 1, 'maybe': 1, 'show': 1, 'some': 1, 'boobs': 1, 'surfing': 1, 'every': 2, 'channel': 1, 'until': 1, 'find': 1, 'hannah': 1, 'montana': 1, 'reach': 1, 'aloe': 1, 'lanolin': 1, 'bust': 1, 'wall': 1, 'dismantlin': 1, 'candle': 1, 'top': 2, 'fireplace': 1, 'mantel': 1, 'grab': 1, 'flannel': 1, 'bandana': 1, 'kiss': 1, 'mannequin': 1, 'man': 2, 'see': 1, 'him': 5, 'standin': 1, 'window': 1, 'if': 1, 'look': 1, 'hooligan': 1, 'who': 2, 'used': 1, 'using': 1, 'hallucinogens': 1, 'causin': 1, 'illusions': 1, 'brain': 1, 'contusions': 1, 'cutting': 1, 'bruising': 1, 'skin': 3, 'razors': 1, 'scissors': 1, 'pins': 1, 'jesus': 1, 'when': 5, 'does': 1, 'end': 1, 'phases': 1, 'that': 7, 'go': 1, 'through': 1, 'dazed': 1, 'confused': 1, 'days': 2, 'know': 1, 'gave': 1, 'these': 1, 'molecules': 1, 'am': 1, 'gon': 1, 'hey': 1, 'prodigal': 1, 'son': 2, 'diabolical': 1, 'one': 2, 'very': 1, 'methodical': 1, 'slaughter': 1, 'them': 1, 'she': 2, 'puts': 4, 'lotion': 4, 'bucket': 2, 'or': 2, 'else': 2, 'gets': 2, 'hose': 2, 'cut': 2, 'slash': 1, 'slice': 1, 'gash': 1, 'last': 2, 'night': 1, 'was': 3, 'blast': 1, 'quite': 1, 'had': 1, 'much': 1, 'fun': 2, 'off': 1, 'jack': 1, 'vic': 1, 'flashlight': 1, 'kim': 1, 'kardashian': 1, 'ass': 1, 'first': 1, 'time': 1, 'dismembered': 1, 'family': 1, 'member': 1, 'december': 1, 'think': 1, 'having': 1, 'drinks': 1, 'cousin': 1, 'wrapped': 1, 'christmas': 1, 'lights': 1, 'pushed': 1, 'into': 2, 'stinkin': 1, 'tub': 1, 'pieces': 1, 'went': 1, 'drink': 2, 'oughta': 2, 'bathwater': 1, 'be': 3, 'serial': 1, 'murder': 1, 'manslaughter': 1, 'begun': 1, 'sight': 1, 'excites': 1, 'might': 1, 'artery': 1, 'your': 1, 'screams': 1, 'seem': 1, 'bother': 1, 'none': 2, 'come': 1, 'should': 1, 'probably': 2, 'secret': 1, 'passageway': 1, 'around': 1, 'lungs': 1, 'ai': 1, 'stopping': 1, 'from': 1, 'chopping': 1, 'evil': 6, 'rise': 6}","{'PERSON': 11, 'CARDINAL': 4, 'ORG': 13, 'TIME': 9, 'GPE': 2, 'DATE': 3, 'ORDINAL': 1}","{'ROOT': 28, 'punct': 142, 'intj': 32, 'dep': 104, 'expl': 5, 'det': 71, 'attr': 19, 'appos': 17, 'aux': 46, 'relcl': 15, 'nsubj': 106, 'ccomp': 57, 'dobj': 62, 'npadvmod': 8, 'cc': 37, 'neg': 14, 'advcl': 17, 'nmod': 8, 'acomp': 4, 'prep': 62, 'compound': 19, 'pobj': 59, 'advmod': 57, 'conj': 54, 'xcomp': 9, 'mark': 11, 'prt': 5, 'poss': 25, 'nsubjpass': 3, 'auxpass': 4, 'amod': 23, 'case': 11, 'nummod': 7, 'pcomp': 3, 'acl': 1, 'dative': 1}","[(0, '0.005*""oh"" + 0.005*""yeah"" + 0.005*""killed"" + 0.005*""bodies"" + 0.005*""must"" + 0.005*""remember"" + 0.005*""3"" + 0.005*""floor"" + 0.005*""rise"" + 0.005*""got""'), (1, '0.005*""yeah"" + 0.005*""oh"" + 0.005*""killed"" + 0.005*""must"" + 0.005*""got"" + 0.005*""remember"" + 0.005*""yo"" + 0.005*""bodies"" + 0.005*""layin"" + 0.005*""floor""'), (2, '0.005*""oh"" + 0.005*""killed"" + 0.005*""yo"" + 0.005*""yeah"" + 0.005*""remember"" + 0.005*""must"" + 0.005*""guess"" + 0.005*""3"" + 0.005*""layin"" + 0.005*""evil""'), (3, '0.033*""oh"" + 0.028*""killed"" + 0.026*""yeah"" + 0.024*""yo"" + 0.019*""remember"" + 0.019*""got"" + 0.017*""bodies"" + 0.017*""3"" + 0.017*""guess"" + 0.017*""must""'), (4, '0.005*""oh"" + 0.005*""killed"" + 0.005*""got"" + 0.005*""yeah"" + 0.005*""yo"" + 0.005*""remember"" + 0.005*""guess"" + 0.005*""bodies"" + 0.005*""3"" + 0.005*""must""')]","{'escaping': 1, 'ayo': 6, 'goodnight': 1, 'goodbye': 1, 'walkin': 1, 'mornin': 1, 'anymore': 1, 'wants': 2, 'applauding': 1, 'contemplating': 1, 'swallowin': 1, 'klonopinwhile': 1, 'noddin': 1, 'ottoman': 1, 'mcdonald': 1, 'bodies': 7, 'shit': 1, 'blacked': 1, '3': 7, 'layin': 6, 'killed': 12, 'boobs': 1, 'surfing': 1, 'hannah': 1, 'dismantlin': 1, 'bandana': 1, 'standin': 1, 'using': 1, 'hallucinogens': 1, 'causin': 1, 'illusions': 1, 'contusions': 1, 'razors': 1, 'pins': 1, 'jesus': 1, 'molecules': 1, 'puts': 4, 'gets': 2, 'vic': 1, 'kardashian': 1, 'december': 1, 'having': 1, 'drinks': 1, 'christmas': 1, 'lights': 1, 'pushed': 1, 'stinkin': 1, 'pieces': 1, 'oughta': 2, 'bathwater': 1, 'excites': 1, 'screams': 1, 'lungs': 1}","{'kill': 1, 'naked': 2, 'shit': 1, 'boobs': 1, 'ass': 1, 'murder': 1}","{'negative_words': {'Yeah': 1, 'yeah': 1, 'Yo': 6, 'place': 1, 'hide': 1, 'scream': 2, 'Someone': 1, 'save': 1, 'pay': 1, 'mind': 1, 'horror': 1, 'corridor': 1, 'almost': 2, 'four': 1, 'Nightmare': 1, 'horrible': 1, 'right': 1, 'coroner': 1, 'Waiting': 1, 'ya': 4, 'turn': 1, 'corner': 3, 'goner': 1, 'onto': 2, 'cornea': 1, 'saw': 1, 'run': 3, 'want': 1, 'rest': 1, 'ca': 2, 'done': 1, 'kill': 1, 'front': 2, 'audience': 1, 'everybody': 1, 'watching': 1, 'party': 1, 'sit': 1, 'caught': 1, 'deep': 1, 'thought': 2, 'next': 1, 'plot': 1, 'Ramada': 1, 'Inn': 1, 'holding': 1, 'pill': 1, 'bottle': 1, 'Lick': 1, 'finger': 1, 'swirl': 1, 'bottom': 1, 'make': 1, 'sure': 1, 'got': 8, 'Wake': 1, 'naked': 2, 'Blood': 1, 'dead': 1, 'behind': 1, 'counter': 1, 'Guess': 1, 'must': 7, 'Put': 6, 'key': 6, 'door': 6, 'floor': 6, 'remember': 8, 'guess': 6, 'said': 3, 'Sitting': 1, 'nude': 1, 'living': 1, 'room': 1, 'noon': 1, 'wonder': 1, 'tube': 1, 'maybe': 1, 'show': 1, 'every': 2, 'channel': 1, 'find': 1, 'Montana': 1, 'reach': 1, 'aloe': 1, 'lanolin': 1, 'bust': 1, 'wall': 1, 'candle': 1, 'top': 2, 'fireplace': 1, 'mantel': 1, 'Grab': 1, 'flannel': 1, 'Kiss': 1, 'mannequin': 1, 'man': 2, 'see': 1, 'window': 1, 'look': 1, 'hooligan': 1, 'used': 1, 'brain': 1, 'Cutting': 1, 'bruising': 1, 'skin': 3, 'scissors': 1, 'end': 1, 'Phases': 1, 'go': 1, 'Dazed': 1, 'confused': 1, 'Days': 1, 'know': 1, 'gave': 1, 'gon': 1, 'Hey': 1, 'prodigal': 1, 'son': 2, 'diabolical': 1, 'one': 2, 'methodical': 1, 'slaughter': 1, 'lotion': 4, 'bucket': 2, 'else': 2, 'hose': 2, 'cut': 2, 'slash': 1, 'slice': 1, 'gash': 1, 'last': 2, 'night': 1, 'blast': 1, 'quite': 1, 'Much': 1, 'fun': 2, 'Jack': 1, 'flashlight': 1, 'Kim': 1, 'ass': 1, 'first': 1, 'time': 1, 'dismembered': 1, 'family': 1, 'member': 1, 'think': 1, 'cousin': 1, 'wrapped': 1, 'tub': 1, 'went': 1, 'drink': 2, 'blood': 2, 'days': 1, 'serial': 1, 'murder': 1, 'manslaughter': 1, 'begun': 1, 'sight': 1, 'might': 1, 'artery': 1, 'seem': 1, 'bother': 1, 'none': 2, 'come': 1, 'probably': 2, 'secret': 1, 'passageway': 1, 'around': 1, 'Oh': 1, 'ai': 1, 'stopping': 1, 'chopping': 1, 'yo': 4, 'Evil': 6, 'rise': 6}, 'average_negative_words_per_sentence': 68.75}","{'kill': 1, 'naked': 2, 'shit': 1, 'boobs': 1, 'ass': 1, 'murder': 1}","{""walkin'"": 1, ""mornin'"": 7, ""Swallowin'"": 1, ""noddin'"": 1, ""layin'"": 6, ""panellin'"": 1, ""Dismantlin'"": 1, ""standin'"": 1, ""Causin'"": 1, ""stinkin'"": 1}","{'Kiss': 1, 'Kim': 1}",set(),"{'Kill You', 'I Remember', '3 a.m.', 'Stan', 'Kim', 'Evil'}",7,21,2,792,285,9,112,4307,12.44,7.42,1.24
Relapse,My Mom,"{'yeah': 7, 'okay': 1, 'alright': 3, 'yo': 5, 'lay': 1, 'the': 20, 'chorus': 1, 'first': 1, 'here': 4, 'we': 1, 'go': 2, 'now': 5, 'my': 37, 'mom': 31, 'loved': 9, 'valium': 13, 'and': 25, 'lots': 8, 'of': 15, 'drugs': 8, 'that': 17, 'why': 9, 'i': 63, 'am': 12, 'like': 11, 'her': 6, 'because': 4, 'on': 13, 'what': 13, 'know': 2, 'you': 21, 'probably': 2, 'tired': 1, 'hearin': 1, 'but': 9, 'this': 5, 'is': 4, 'just': 6, 'a': 20, 'story': 1, 'when': 2, 'was': 8, 'shorty': 1, 'how': 1, 'became': 1, 'hooked': 1, 'in': 12, 'everything': 1, 'food': 1, 'ate': 2, 'water': 1, 'drank': 1, 'fuckin': 11, 'peas': 1, 'plate': 3, 'she': 5, 'sprinkled': 1, 'enough': 1, 'it': 32, 'to': 6, 'season': 1, 'steak': 1, 'so': 2, 'every': 1, 'day': 1, 'have': 2, 'at': 2, 'least': 1, 'three': 1, 'stomachaches': 1, 'tell': 1, 'me': 8, 'kind': 1, 'mother': 1, 'would': 1, 'want': 2, 'see': 1, 'son': 2, 'grow': 1, 'up': 6, 'be': 5, 'an': 1, 'teacher': 1, 'did': 3, 'think': 1, 'gon': 2, 'na': 4, 'nothin': 1, 'either': 3, 'fuck': 5, 'stickin': 1, 'gum': 1, 'under': 1, 'seat': 1, 'for': 2, 'mathers': 1, 'your': 5, 'has': 3, 'been': 2, 'huffin': 2, 'ether': 1, 'or': 1, 'motherfucker': 2, 'puffin': 2, 'reefer': 1, 'all': 2, 'neither': 1, 'buzzin': 1, 'thought': 2, 'pee': 1, 'teacup': 1, 'bitch': 1, 'ai': 9, 'keeper': 1, 'keep': 1, 'with': 5, 'slut': 1, 'need': 2, 'leave': 1, 'alone': 1, 'find': 1, 'white': 1, 'crayon': 1, 'color': 1, 'zebra': 1, 'wait': 2, 'minute': 1, 'dinner': 1, 'paint': 1, 'thinner': 1, 'yesterday': 1, 'hear': 1, 'no': 2, 'complaints': 1, 'full': 1, 'painkillers': 1, 'crush': 1, 'put': 2, 'potatoes': 1, 'little': 3, 'make': 3, 'sit': 3, 'there': 4, 'retarded': 1, 'face': 2, 'without': 3, 'even': 2, 'tastin': 1, 'better': 1, 'lick': 1, 'wastin': 1, 'throw': 1, 'basement': 1, 'again': 2, 'givin': 1, 'one': 2, 'place': 1, 'finnickin': 1, 'next': 1, 'thanksgiving': 1, 'if': 2, 'still': 2, 'finished': 1, 'use': 1, 'same': 1, 'shit': 5, 'then': 3, 'spinach': 2, 'dip': 1, 'placed': 1, 'wan': 2, 'play': 1, 'innocent': 1, 'rack': 1, 'fell': 1, 'hit': 1, 'they': 1, 'witnessed': 1, 'child': 1, 'support': 1, 'father': 1, 'he': 2, 'sent': 1, 'none': 1, 'dang': 1, 'business': 1, 'kid': 1, 'else': 1, 'quite': 1, 'should': 1, 'let': 1, 'bygones': 2, 'reason': 1, 'high': 2, 'party': 1, 'animal': 1, 'strong': 1, 'finish': 1, 'buzz': 1, 'only': 1, 'lasts': 1, 'about': 1, 'two': 1, 'minutes': 1, 'do': 4, 'swallow': 1, 'chewin': 1, 'ca': 2, 'write': 1, 'rhyme': 1, 'ohh': 1, 'man': 1, 'never': 1, 'could': 1, 'ever': 1, 'drug': 1, 'addict': 1, 'naw': 1, 'happen': 1, 'actually': 1, 'ended': 2, 'tragedy': 1, 'past': 1, 'catchin': 1, 'where': 1, 'got': 1, 'acquainted': 1, 'taste': 1, 'pharmaceuticals': 1, 'are': 1, 'bomb': 1, 'beautiful': 1, 'killed': 1, 'dog': 1, 'medicine': 1, 'done': 1, 'fed': 1, 'feed': 1, 'aspirin': 1, 'say': 1, 'headache': 1, 'snack': 1, 'hungry': 1, 'brat': 1, 'look': 1, 'xanax': 1, 'take': 4, 'nap': 1, 'eat': 1, 'well': 1, 'break': 1, 'piece': 1, 'beat': 1, 'before': 1, 'wake': 1, 'nathan': 1, 'ma': 1, 'win': 1, 'feel': 1, 'pop': 1, 'gobble': 1, 'start': 1, 'stumble': 1, 'hobble': 1, 'tumble': 1, 'slip': 1, 'trip': 1, 'fall': 1, 'bed': 1, 'bottle': 1, 'meds': 1, 'heath': 1, 'ledger': 1, 'bobblehead': 1, 'momma': 3, 'da': 1, 'haha': 1, 'sorry': 1, 'love': 1, 'though': 1, 'dre': 1, '2010': 1, 'hey': 1, 'hella': 1, 'hard': 1, 'homie': 1, 'us': 1, 'outta': 1, 'woo': 1}","{'ORG': 4, 'ORDINAL': 1, 'PERSON': 18, 'GPE': 2, 'CARDINAL': 2, 'DATE': 4, 'TIME': 2, 'LOC': 1}","{'ROOT': 40, 'dep': 100, 'punct': 150, 'intj': 3, 'npadvmod': 11, 'appos': 29, 'compound': 21, 'nsubj': 138, 'acomp': 11, 'det': 50, 'dobj': 71, 'advmod': 59, 'poss': 56, 'cc': 35, 'conj': 38, 'prep': 64, 'pobj': 56, 'ccomp': 65, 'mark': 21, 'advcl': 26, 'pcomp': 7, 'attr': 26, 'parataxis': 3, 'csubj': 1, 'relcl': 8, 'case': 13, 'aux': 29, 'xcomp': 7, 'nummod': 6, 'prt': 6, 'neg': 18, 'nmod': 9, 'amod': 12, 'predet': 1, 'preconj': 1, 'dative': 1, 'nsubjpass': 2, 'auxpass': 2, 'expl': 1}","[(0, '0.072*""mom"" + 0.031*""valium"" + 0.026*""fuckin"" + 0.026*""like"" + 0.021*""ai"" + 0.021*""loved"" + 0.019*""drugs"" + 0.019*""lots"" + 0.017*""yeah"" + 0.012*""yo""'), (1, '0.006*""mom"" + 0.005*""like"" + 0.005*""valium"" + 0.005*""ai"" + 0.005*""fuckin"" + 0.005*""loved"" + 0.005*""drugs"" + 0.005*""yeah"" + 0.005*""lots"" + 0.005*""take""'), (2, '0.006*""mom"" + 0.005*""like"" + 0.005*""fuckin"" + 0.005*""valium"" + 0.005*""loved"" + 0.005*""yeah"" + 0.005*""lots"" + 0.005*""ai"" + 0.005*""drugs"" + 0.005*""fuck""'), (3, '0.005*""mom"" + 0.005*""valium"" + 0.005*""like"" + 0.005*""lots"" + 0.005*""loved"" + 0.005*""ai"" + 0.005*""drugs"" + 0.005*""fuckin"" + 0.005*""yeah"" + 0.004*""shit""'), (4, '0.005*""mom"" + 0.005*""valium"" + 0.005*""fuckin"" + 0.005*""ai"" + 0.005*""drugs"" + 0.005*""loved"" + 0.005*""lots"" + 0.005*""like"" + 0.005*""yeah"" + 0.004*""shit""')]","{'okay': 1, 'mom': 31, 'loved': 9, 'valium': 13, 'drugs': 8, 'hearin': 1, 'shorty': 1, 'became': 1, 'fuckin': 11, 'peas': 1, 'stomachaches': 1, 'nothin': 1, 'fuck': 5, 'stickin': 1, 'mathers': 1, 'has': 3, 'huffin': 2, 'motherfucker': 2, 'buzzin': 1, 'complaints': 1, 'painkillers': 1, 'tastin': 1, 'wastin': 1, 'givin': 1, 'finnickin': 1, 'shit': 5, 'placed': 1, 'witnessed': 1, 'kid': 1, 'bygones': 2, 'lasts': 1, 'minutes': 1, 'chewin': 1, 'ohh': 1, 'catchin': 1, 'pharmaceuticals': 1, 'killed': 1, 'xanax': 1, 'nathan': 1, 'meds': 1, 'bobblehead': 1, 'momma': 3, 'haha': 1, 'dre': 1, '2010': 1, 'hella': 1, 'homie': 1, 'outta': 1}","{'valium': 13, 'drugs': 8, 'fuckin': 11, 'fuck': 5, 'motherfucker': 2, 'reefer': 1, 'pee': 1, 'bitch': 1, 'slut': 1, 'retarded': 1, 'shit': 5, 'hit': 1, 'drug': 1}","{'negative_words': {'know': 1, 'probably': 2, 'tired': 1, 'story': 1, 'hooked': 1, 'everything': 1, 'food': 1, 'ate': 1, 'water': 1, 'drank': 1, 'plate': 3, 'sprinkled': 1, 'enough': 1, 'season': 1, 'steak': 1, 'every': 1, 'day': 1, 'least': 1, 'three': 1, 'tell': 1, 'kind': 1, 'mother': 1, 'would': 1, 'want': 1, 'see': 1, 'Son': 1, 'grow': 1, 'teacher': 1, 'think': 1, 'gon': 2, 'na': 3, 'either': 1, 'gum': 1, 'seat': 1, 'Bitch': 1, 'ai': 7, 'keeper': 1, 'keep': 1, 'Slut': 1, 'need': 1, 'leave': 1, 'alone': 1, 'Go': 1, 'find': 1, 'white': 1, 'crayon': 1, 'color': 1, 'zebra': 1, 'full': 1, 'wait': 1, 'crush': 1, 'put': 1, 'potatoes': 1, 'little': 2, 'make': 3, 'sit': 3, 'retarded': 1, 'face': 2, 'without': 1, 'even': 1, 'better': 1, 'lick': 1, 'Put': 1, 'throw': 1, 'basement': 1, 'one': 1, 'place': 1, 'next': 1, 'Thanksgiving': 1, 'still': 1, 'finished': 1, 'use': 1, 'spinach': 1, 'dip': 1, 'wan': 1, 'play': 1, 'innocent': 1, 'rack': 1, 'fell': 1, 'hit': 1, 'Child': 1, 'support': 1, 'father': 1, 'sent': 1, 'Man': 1, 'never': 1, 'thought': 1, 'could': 1, 'ever': 1, 'drug': 1, 'addict': 1, 'naw': 1, 'ca': 1, 'happen': 1, 'actually': 1, 'ended': 2, 'tragedy': 1, 'past': 1, 'got': 1, 'acquainted': 1, 'taste': 1, 'Hey': 1, 'hard': 1, 'Yo': 1, 'take': 1, 'us': 1, 'Woo': 1}, 'average_negative_words_per_sentence': 5.7272727272727275}","{'Valium': 11, 'drugs': 8, 'fuck': 5, 'Pee': 1, 'retarded': 1, 'shit': 4, 'hit': 1, 'drug': 1}","{""hearin'"": 1, ""fuckin'"": 11, ""nothin'"": 1, ""stickin'"": 1, ""huffin'"": 2, ""puffin'"": 2, ""buzzin'"": 1, ""sleepin'"": 1, ""playin'"": 1, ""tastin'"": 1, ""wastin'"": 1, ""givin'"": 1, ""finnickin'"": 1, ""chewin'"": 1, ""happenin'"": 1, ""catchin'"": 1, ""arguin'"": 1, ""wobblin'"": 1}","{'mom': 14, 'momma': 2, 'Mom': 1}",set(),"{'Heat', 'Killer', 'My Mom', 'Fuck You', 'Fall', 'Business', 'Beautiful'}",32,30,17,838,289,11,108,4371,9.82,8.03,1.25
